,importance
AL_100,0.039031395313009296
AL_150,0.038372542433794024
BIO_alblk46_mean,0.03793018134665144
AL_43,0.03775552605028985
BIO_alblk31_mean,0.03685397684798099
BIO_alblk28_std,0.03671441839786753
AL_57,0.03648159098862789
AL_66,0.03581647265425858
BIO_alblk58_std,0.035708292101829894
AL_275,0.03544453798654398
BIO_alblk14_max,0.03540602761968046
BIO_alblk54_std,0.03435449266355642
AL_49,0.03415346889685517
BIO_alblk21_mean,0.03368713479999539
AL_268,0.03275483962183527
AL_234,0.03260361856743932
AL_174,0.03241688250633468
AL_260,0.03207260907328028
AL_326,0.031790654044957525
BIO_alblk54_mean,0.030343120786881193
AL_133,0.02866352861304212
AL_318,0.028258302538690033
AL_294,0.027907726465436
AL_142,0.02685011924425055
AL_257,0.026490729679326985
AL_154,0.026259721386302597
BIO_alblk48_mean,0.026071115846119413
AL_81,0.025897011021007006
AL_300,0.025033259591556195
AL_290,0.024956464866022217
AL_226,0.024431659351913132
AL_193,0.0240804771808593
AL_329,0.02406509208599545
BIO_alblk23_mean,0.02398281380475702
AL_51,0.023557330934083152
BIO_alblk20_mean,0.02311490030093313
AL_325,0.022456034282893472
AL_218,0.02241542274285043
AL_108,0.022398558146085358
AL_180,0.02235258466497198
AL_285,0.021699383458297937
AL_61,0.020866239374252474
AL_237,0.020831417506722783
AL_65,0.02075293991489536
AL_144,0.02072603048306777
AL_270,0.020619441940800388
AA_2_Y,0.02038739460713157
BIO_alblk18_std,0.020123206341102533
AL_209,0.020038536690539184
AL_198,0.019641874119970263
AL_245,0.01944021553141003
AL_192,0.01941622647580214
AL_317,0.01929944946550669
AL_271,0.01925079651044829
AL_202,0.01911106023246543
AL_105,0.01816515200189876
BIO_alblk56_std,0.018161549215358508
BIO_alblk10_mean,0.018042654553564567
AL_232,0.017667864656482797
AL_228,0.017617756164886887
AL_165,0.01740966359916492
AL_63,0.017376718684724308
AL_205,0.01691244652968459
AL_187,0.016864780248200838
AL_254,0.016712849180379602
AL_289,0.016454886248334466
AL_189,0.016070485025752722
CAT_6,0.016043942427342837
BIO_alblk10_max,0.01592083765309485
AL_253,0.015385692401864598
AL_123,0.015374128241796814
AL_75,0.015342910324670292
AL_94,0.015206501444060525
BIO_alblk41_mean,0.014684784426646096
AA_1_M,0.014587701321759784
AL_171,0.014568297269325514
AL_206,0.014433780950778902
AL_314,0.014426261541903504
