,importance
BIO_alblk51_std,0.023865816118669177
AL_106,0.02337358596288034
BIO_alblk58_max,0.0232928338998333
AL_8,0.022688491223609785
AL_90,0.022489916471779905
AL_126,0.021998903241149104
BIO_alblk45_std,0.021869277792532532
AL_15,0.021796408290305477
AL_331,0.021761068907296694
BIO_alblk03_max,0.02147109068411384
AL_314,0.02145773550128342
BIO_alblk60_std,0.021454650399823378
AL_162,0.021374669753706478
AL_307,0.02130798814453566
AL_103,0.021280363450316996
EK_4,0.02122866545333494
AL_80,0.021169928793747635
AL_3,0.02111134033810281
BIO_alblk21_max,0.021110415958002043
AL_228,0.021073006630967166
AL_26,0.020904564244516362
BIO_alblk26_std,0.020741201782547368
AL_271,0.020476113615847884
AL_281,0.020465214548601368
BIO_alblk34_mean,0.020291649981468485
BIO_alblk16_mean,0.020180473176576626
AL_297,0.02013360995353595
AL_171,0.02003152568929032
AL_194,0.019926738354130048
BIO_alblk31_std,0.019916296937284268
BIO_alblk42_max,0.019799067857501816
BIO_alblk52_mean,0.01975158927163286
BIO_alblk46_std,0.019622338588990117
BIO_alblk59_mean,0.019540748046829277
BIO_alblk15_mean,0.01912178297186285
BIO_alblk64_mean,0.01864867321704195
AL_102,0.018601575131604778
AL_328,0.01844006359526487
BIO_alblk66_mean,0.018403676371053737
AL_177,0.018221450379430265
AL_313,0.01799473549503683
AL_210,0.017928263140281543
BIO_alblk25_std,0.017874353047760912
AL_308,0.01760086746372813
AA_2_T,0.017239562635555643
BIO_alblk47_mean,0.017047064376971833
BIO_alblk44_mean,0.016987507737882417
BIO_alblk37_std,0.01681250955920623
AL_20,0.016786292740912638
BIO_alblk50_max,0.016680187032128885
BIO_alblk62_max,0.01659000091520582
BIO_alblk29_std,0.016515869385407476
BIO_alblk20_mean,0.016160151291320007
AL_178,0.016010052648493263
AL_186,0.01600590749735313
BIO_alblk47_max,0.015919669088376984
BIO_alblk33_std,0.01575523632623192
AL_63,0.015704786444895855
BIO_alblk43_std,0.01547862915413169
CAT_4,0.015415533446574994
BIO_alblk58_mean,0.015392906884791535
BIO_alblk03_std,0.015386347463230882
BIO_al_mean,0.015362332696533773
AL_195,0.015134834384428308
AL_273,0.015063134512559556
AL_262,0.015033121403572294
BIO_alblk31_max,0.015031062087248578
AL_266,0.014999015308631371
AL_191,0.014769177832327748
BIO_al_std,0.014251072493494953
BIO_alblk64_max,0.013956869363494639
AL_211,0.013708502567048548
BIO_alblk04_max,0.013683285509418048
AL_324,0.013518131215264965
BIO_alblk30_mean,0.013313222491672994
AL_200,0.013069763067255663
BIO_alblk59_std,0.0130379611123836
AL_54,0.013002669528637451
BIO_grantham,0.01298190785717362
AL_35,0.012685679648112394
AL_265,0.012660623355577971
BIO_alblk18_mean,0.012601161559479193
BIO_alblk27_std,0.012502248658123934
BIO_alblk40_mean,0.012273216256966403
AL_237,0.012264833654582072
BIO_alblk11_max,0.01215306544801121
AL_99,0.012148787840976172
AL_73,0.01201618740038508
AL_135,0.011953670392638671
AL_253,0.011937205590534829
AL_137,0.01185915479058686
BIO_alblk09_mean,0.011782263087035899
BIO_alblk14_max,0.011781411297168845
AL_48,0.011780699923471725
BIO_alblk18_max,0.01169626246081978
AL_91,0.011595879215880222
BIO_alblk39_max,0.01149434048367226
AL_101,0.011482871161017079
AL_129,0.01145830259054818
AL_122,0.011447755028273842
AL_159,0.011447278917165989
BIO_alblk51_mean,0.011432143055975447
BIO_alblk29_mean,0.011424835604886815
BIO_alblk01_std,0.01124062542170623
AL_329,0.011133572975449278
AL_312,0.011101368771123252
AL_332,0.01105059116579302
BIO_alblk10_std,0.01068885000748571
AL_257,0.010563736253010313
BIO_alblk28_mean,0.010432562143446709
AL_116,0.010423468859929657
AL_55,0.010391428455172765
AL_62,0.010372305310869426
AL_32,0.01034940589598191
BIO_alblk10_mean,0.010341654692359944
AL_222,0.010235395095234995
AL_87,0.01018823805880085
BIO_alblk14_mean,0.010029004761455051
BIO_alblk13_mean,0.010009537359197844
BIO_alblk53_max,0.009814812119560319
AL_111,0.009665917045355531
AL_89,0.009606465367888433
BIO_alblk18_std,0.009596581067255628
AL_172,0.009538805545068101
AA_1_F,0.00947793172117206
BIO_alblk12_max,0.009100099013583336
AL_81,0.009013026068170785
AL_31,0.009008603845303793
BIO_alblk08_max,0.008987039532020952
AL_112,0.008867748967380464
AL_96,0.008781014552554561
BIO_alblk09_max,0.008713383809642847
BIO_alblk11_std,0.008707258748729036
AL_201,0.008620766577046416
AL_280,0.008420850154783336
AL_50,0.008379350524732782
BIO_alblk63_mean,0.00827061934861912
BIO_hydro_diff,0.008209605888285251
AL_148,0.008004679472881263
AL_79,0.007903142377185864
AL_68,0.007898302353352578
BIO_alblk32_mean,0.007896829207375994
AL_121,0.007891534237312318
BIO_alblk58_std,0.00785544248673023
AL_65,0.007781791773267188
BIO_alblk36_std,0.0076034767180383905
AA_2_P,0.0075786037646247304
BIO_alblk25_mean,0.007550923572514476
AL_285,0.007440761338349607
AL_84,0.007370797596695855
AL_113,0.007353590831758993
AL_150,0.0073377849851216925
AL_131,0.007245064363934167
BIO_alblk19_max,0.007132759793571479
BIO_alblk21_std,0.007076636479810763
AL_154,0.007033243522126742
AL_127,0.0069760989905139886
AL_82,0.006937999243287797
BIO_alblk44_std,0.0067958007532266775
BIO_alblk55_max,0.006757007294671406
BIO_alblk52_max,0.006582825790933
AL_245,0.00643012800474919
AL_205,0.00642921484626519
BIO_alblk28_max,0.006402856790579404
AL_174,0.006319576794967199
AL_123,0.00624883277945905
BIO_alblk11_mean,0.006231950363866492
BIO_alblk24_std,0.00621525392038148
